month,day_of_week,op_unique_carrier,origin,dest,crs_dep_time,distance,dep_time_bin,carrier_origin
7,1,0.265797392,0.281184753,0.217485863,1646,971,0.307938035,0.332536363
10,2,0.188744508,0.244406196,0.172413793,1245,1546,0.209605296,0.218446602
4,4,0.164141953,0.198960499,0.224489796,2300,594,0.307938035,0.188465175
11,6,0.253760206,0.26082578,0.370120445,916,509,0.107609327,0.277970012
6,7,0.193371815,0.167164179,0.176846591,1910,281,0.307938035,0.134276253
12,7,0.179017013,0.199354405,0.181617647,1440,119,0.209605296,0.199354405
11,6,0.164141953,0.175956284,0.186138614,1850,1084,0.307938035,0.185406699
10,1,0.164141953,0.198960499,0.200752823,835,2172,0.107609327,0.188465175
5,5,0.137856629,0.189175258,0.234,1950,399,0.307938035,0.138235294
4,5,0.137856629,0.170843776,0.2,1025,963,0.107609327,0.127659574
9,4,0.253760206,0.263761468,0.219546742,1151,992,0.107609327,0.280694938
3,4,0.188744508,0.181372549,0.172413793,1618,1447,0.209605296,0.179095883
6,1,0.200784094,0.209865859,0.193975904,2359,1874,0.307938035,0.234210526
2,1,0.213325183,0.191876751,0.270797047,930,741,0.107609327,0.204025172
6,4,0.193371815,0.201082753,0.124513619,740,231,0.107609327,0.223931624
1,1,0.200784094,0.236299529,0.172954642,919,680,0.107609327,0.236299529
6,4,0.213267204,0.17206073,0.214473684,518,88,0.107609327,0.184684689
2,4,0.164141953,0.195227766,0.16384535,1959,746,0.307938035,0.181824286
6,4,0.188744508,0.189175258,0.198044623,1800,612,0.307938035,0.166981376
12,1,0.179017013,0.163624848,0.198044623,1238,1341,0.209605296,0.163624848
2,3,0.179017013,0.152390779,0.144570707,635,150,0.107609327,0.152390779
9,6,0.253760206,0.189175258,0.169817927,820,2311,0.107609327,0.226600985
4,4,0.187981127,0.262749446,0.177776236,2110,351,0.307938035,0.173913043
5,7,0.253760206,0.26082578,0.159246575,1330,347,0.209605296,0.277970012
2,2,0.137856629,0.206087824,0.180762852,925,563,0.107609327,0.142857143
1,7,0.188744508,0.179347826,0.161331626,1025,182,0.107609327,0.141514219
1,5,0.156283375,0.195259594,0.209251101,1300,427,0.209605296,0.144032922
12,1,0.257645701,0.170843776,0.240449438,1320,1035,0.209605296,0.299210323
12,7,0.193371815,0.207460399,0.220913108,1830,447,0.307938035,0.26723671
8,6,0.164141953,0.198960499,0.225805614,1332,240,0.209605296,0.188465175
8,1,0.213267204,0.17206073,0.214473684,1615,88,0.209605296,0.184684689
8,5,0.164141953,0.167687957,0.172954642,712,909,0.107609327,0.172490791
12,1,0.156283375,0.169902913,0.174674958,1735,232,0.307938035,0.122038078
12,1,0.253760206,0.195227766,0.231961045,1239,1372,0.209605296,0.171174199
5,5,0.187981127,0.26082578,0.225805614,1316,437,0.209605296,0.261799238
8,5,0.164141953,0.21881582,0.181655481,1031,1620,0.107609327,0.199999994
2,3,0.179017013,0.225241546,0.181617647,535,1009,0.107609327,0.216931216
6,4,0.253760206,0.195102041,0.214473684,815,1032,0.107609327,0.199052133
1,3,0.193371815,0.21881582,0.219789132,2120,775,0.307938035,0.244728916
3,3,0.179017013,0.158739963,0.076333498,1540,188,0.209605296,0.118161926
11,5,0.137856629,0.195259594,0.205048944,2059,213,0.307938035,0.150862069
11,6,0.179017013,0.16878865,0.231023102,928,391,0.107609327,0.137992832
2,6,0.253760206,0.266837716,0.199887704,1949,1089,0.307938035,0.313309776
5,2,0.164141953,0.210227273,0.16384535,1451,425,0.209605296,0.133346547
9,4,0.188744508,0.263761468,0.207186974,1950,1065,0.307938035,0.1262315
10,4,0.193371815,0.195102041,0.182578397,1225,756,0.209605296,0.178907721
10,3,0.213325183,0.187630866,0.226084876,834,1033,0.107609327,0.159065043
8,6,0.227520436,0.201082753,0.172954642,1235,867,0.209605296,0.18128655
