month,day_of_week,op_unique_carrier,origin,dest,crs_dep_time,distance
2,3,11,157,246,535,1009.0
6,4,1,22,69,815,1032.0
1,3,13,89,22,2120,775.0
3,3,11,302,158,1540,188.0
11,5,14,170,86,2059,213.0
11,6,11,181,274,928,391.0
2,6,1,212,169,1949,1089.0
5,2,4,224,20,1451,425.0
9,4,12,116,109,1950,1065.0
10,4,13,22,41,1225,756.0
10,3,6,215,249,834,1033.0
8,6,9,179,291,1235,867.0
4,2,12,157,235,2135,925.0
9,4,1,90,234,1852,1188.0
7,6,11,267,302,615,525.0
11,3,6,310,320,1100,1142.0
11,4,14,67,189,1755,419.0
2,4,0,190,192,1645,1085.0
2,4,13,310,41,1655,648.0
5,3,13,234,89,1415,819.0
11,5,14,41,189,1307,764.0
10,1,14,43,189,900,184.0
1,3,1,312,90,700,550.0
10,6,13,181,246,1805,370.0
8,5,3,301,200,1430,1189.0
4,5,12,146,180,2140,2556.0
10,7,11,235,112,1250,557.0
7,7,4,20,304,1706,2092.0
5,2,12,89,2,1552,349.0
6,6,10,78,69,640,221.0
9,3,11,190,231,1830,1341.0
6,2,13,282,20,1730,874.0
5,2,13,146,180,1310,2556.0
10,3,6,80,292,800,735.0
11,4,13,246,54,1420,369.0
6,7,13,179,180,725,236.0
1,5,4,20,293,820,2139.0
4,6,12,89,22,1753,775.0
12,5,5,301,323,1028,1237.0
7,6,1,201,86,2041,759.0
1,1,11,302,299,800,584.0
6,7,4,302,20,958,1590.0
4,2,9,55,323,558,842.0
11,5,4,217,20,1735,302.0
7,1,1,167,90,1305,1047.0
5,2,4,323,20,948,406.0
1,2,0,200,169,1000,1113.0
5,5,9,274,178,2124,345.0
6,4,13,84,312,600,546.0
11,5,10,86,27,1219,313.0
4,2,4,223,109,1959,1008.0
3,5,11,89,139,1900,152.0
1,1,4,169,43,700,1010.0
2,4,1,69,86,1838,331.0
5,1,11,302,158,1715,188.0
2,4,10,69,187,1817,281.0
10,6,1,245,168,1111,742.0
6,6,3,53,169,533,301.0
10,4,9,301,117,1917,1046.0
1,4,4,20,268,1955,356.0
5,6,13,229,178,1550,407.0
3,4,1,282,212,523,1143.0
9,4,1,90,161,1100,761.0
8,4,11,235,120,845,462.0
1,5,12,169,156,700,817.0
7,3,4,90,223,1031,852.0
6,7,12,96,156,605,802.0
1,2,13,2,203,720,1121.0
10,5,12,124,89,1332,836.0
12,1,4,43,223,740,1124.0
8,4,1,246,169,2216,2153.0
1,5,4,20,130,924,352.0
5,5,3,43,53,1257,395.0
4,5,2,291,274,1303,564.0
7,6,11,157,157,2136,542.0
6,7,12,291,109,1210,2402.0
10,3,11,89,150,1759,1048.0
4,7,10,69,228,2243,191.0
9,5,11,291,125,1130,224.0
7,7,10,69,228,2243,191.0
8,5,1,86,43,1005,399.0
10,4,11,291,125,1345,224.0
12,1,10,69,122,2128,460.0
1,4,4,20,290,1124,321.0
10,3,12,235,96,2020,299.0
7,1,9,20,178,754,1747.0
12,6,1,97,69,1344,500.0
2,1,8,90,210,2146,431.0
3,3,10,245,268,1158,337.0
5,2,1,235,17,1700,2846.0
3,2,4,223,235,1525,334.0
7,2,9,55,117,2109,925.0
8,5,4,204,20,1028,591.0
6,3,4,293,20,1519,2139.0
12,2,1,246,282,1010,843.0
6,7,13,337,41,1800,389.0
1,3,2,291,178,1055,867.0
5,5,11,286,293,615,190.0
6,5,13,22,178,1325,1090.0
4,2,1,90,245,708,1303.0
6,7,13,304,125,1545,649.0
5,5,13,281,312,840,1557.0
11,3,11,257,291,1126,172.0
6,5,4,135,20,1025,153.0
8,6,12,181,293,2020,337.0
6,4,11,199,97,700,98.0
8,6,5,201,245,2122,861.0
11,6,4,162,97,605,231.0
10,1,13,150,147,2000,277.0
8,6,9,179,54,910,223.0
11,3,3,43,180,1600,2611.0
11,6,1,181,245,2325,2402.0
12,1,11,54,293,825,326.0
3,6,11,223,112,905,223.0
10,4,13,246,302,600,507.0
8,4,9,235,180,2145,1744.0
9,4,1,90,189,1300,1389.0
10,3,13,86,41,1900,562.0
7,6,11,181,89,1423,862.0
7,6,13,232,178,2020,1099.0
10,7,8,212,253,1725,530.0
3,7,13,84,178,1120,1067.0
1,3,12,63,235,1130,760.0
9,6,13,179,274,940,345.0
11,4,4,20,27,820,859.0
3,3,1,90,41,1312,631.0
3,7,4,251,20,1645,526.0
3,4,13,175,229,1030,2378.0
8,5,4,20,135,1355,306.0
12,5,2,243,169,714,2454.0
8,5,13,246,104,1705,347.0
9,4,12,235,312,845,258.0
8,4,1,170,22,2000,1521.0
6,3,6,310,80,1723,812.0
3,7,1,116,69,1432,632.0
9,4,12,235,199,1950,403.0
9,3,14,108,213,2140,725.0
7,2,12,89,245,1010,1558.0
6,6,8,246,104,1911,347.0
11,7,4,20,22,810,813.0
1,4,1,53,69,549,546.0
11,7,12,235,279,915,1120.0
12,7,4,86,20,600,547.0
4,3,13,55,67,1425,314.0
11,4,14,109,245,1210,1121.0
5,1,2,299,291,2057,696.0
9,5,12,293,281,1050,447.0
5,1,13,55,2,1140,1670.0
12,2,9,116,90,934,1119.0
